Id_County;City;Legislative district
1;Seattle;43
1;Bothell;1
2;Yakima;14
1;Kirkland;45
3;Olympia;22
4;Marysville;38
1;Kent;47
1;Woodinville;45
5;Coupeville;10
1;Bellevue;48
1;Kirkland;48
6;Port Orchard;26
6;Port Orchard;26
4;Mukilteo;21
1;Redmond;45
3;Rochester;20
1;Seattle;43
1;Seattle;46
6;Bremerton;23
6;Poulsbo;23
1;Kent;47
4;Marysville;39
6;Bremerton;35
1;Seattle;11
4;Lake Stevens;44
6;Silverdale;23
1;Kirkland;45
6;Kingston;23
1;Kirkland;45
6;Kingston;23
3;Olympia;22
2;Yakima;14
1;Enumclaw;31
1;Seattle;43
1;Bellevue;41
1;Seattle;32
1;Auburn;47
2;Moxee;15
1;Seattle;46
2;Tieton;14
6;Silverdale;23
6;Port Orchard;35
1;Renton;11
1;Bellevue;48
1;Tukwila;11
1;Seatac;33
3;Tumwater;35
6;Suquamish;23
2;Yakima;14
5;Oak Harbor;10
4;Bothell;1
1;Shoreline;32
1;Shoreline;32
6;Seabeck;35
1;Renton;11
5;Coupeville;10
4;Monroe;39
6;Silverdale;23
6;Bainbridge Island;23
1;Shoreline;32
3;Yelm;2
1;Redmond;45
1;Kirkland;48
4;Lake Stevens;44
3;Tumwater;35
1;Kenmore;46
3;Olympia;22
3;Olympia;22
1;Seattle;43
1;Tukwila;11
4;Stanwood;10
1;Kirkland;45
1;Kirkland;45
6;Seabeck;35
6;Poulsbo;23
1;Seattle;36
1;Renton;41
6;Poulsbo;23
6;Silverdale;23
6;Bremerton;35
1;Medina;48
6;Kingston;23
3;Olympia;22
6;Kingston;23
1;Seattle;37
1;Bellevue;48
1;Redmond;45
1;Bellevue;41
4;Bothell;1
4;Bothell;1
6;Kingston;23
6;Port Orchard;35
1;Kirkland;45
4;4;1
1;Kirkland;48
6;Poulsbo;23
2;Toppenish;14
4;Lake Stevens;44
1;Renton;11
1;Renton;41
6;Bainbridge Island;23
1;Seattle;37
4;Everett;21
3;Olympia;35
1;Seattle;11
4;Lynnwood;32
4;Bothell;21
1;Issaquah;5
4;Bothell;1
6;Bremerton;23
1;Seattle;36
4;Bothell;21
6;Bremerton;23
1;Seattle;36
6;Poulsbo;23
1;Auburn;47
4;Lynnwood;1
4;Lynnwood;32
1;Bellevue;48
3;Lacey;22
2;Yakima;14
4;Bothell;1
1;Seattle;46
2;Selah;15
6;Kingston;23
1;Seattle;36
6;Bremerton;23
1;Seattle;34
1;Bellevue;41
1;Seattle;46
1;Kirkland;45
3;Tumwater;22
3;Lacey;22
1;Seattle;43
2;Yakima;14
6;Port Orchard;26
3;Lacey;22
6;Bremerton;35
1;Bothell;1
2;Selah;15
3;Olympia;22
4;Bothell;1
3;Olympia;22
1;Bellevue;48
3;Olympia;22
3;Olympia;35
3;Lacey;22
3;Olympia;35
3;Tumwater;22
1;Seattle;37
3;Olympia;22
1;Seattle;43
1;Bellevue;41
3;Olympia;2
2;Yakima;14
1;Seattle;34
1;Seattle;46
3;Lacey;22
6;Port Orchard;26
6;Port Orchard;26
3;Olympia;22
1;Renton;41
6;Port Orchard;26
3;Olympia;35
4;Edmonds;21
1;Auburn;47
1;Shoreline;32
3;Lacey;22
1;Seattle;43
6;Hansville;23
4;Bothell;1
6;Bainbridge Island;23
4;Lake Stevens;39
6;Bainbridge Island;23
2;Yakima;15
1;Kirkland;45
1;Seattle;36
1;Seattle;43
1;Tukwila;11
3;Tumwater;22
1;Medina;48
3;Olympia;2
1;Seattle;37
4;Bothell;44
1;Bellevue;48
1;Kirkland;45
6;Silverdale;23
3;Lacey;22
1;Kirkland;1
4;Edmonds;21
3;Lacey;22
1;Redmond;48
2;Selah;15
3;Tenino;20
1;Issaquah;5
1;Sammamish;45
1;Seattle;36
2;Selah;13
1;Kent;33
1;Seattle;46
4;Woodway;32
6;Port Orchard;26
4;Edmonds;21
6;Silverdale;23
6;Bainbridge Island;23
4;Marysville;38
6;Bremerton;23
3;Rochester;20
1;Redmond;45
1;Kirkland;45
7;Pullman;9
3;Rainier;20
2;Moxee;15
2;Yakima;14
5;Oak Harbor;10
8;Mount Vernon;40
2;Tieton;14
6;Silverdale;23
9;Cle Elum;13
3;Rainier;2
1;Seattle;46
3;Yelm;2
6;Bainbridge Island;23
3;Olympia;22
1;Kenmore;46
1;Bellevue;41
1;Renton;11
1;Renton;11
3;Tumwater;22
6;Kingston;23
4;Everett;21
1;Seattle;36
8;Burlington;40
1;Kirkland;45
7;Pullman;9
3;Olympia;22
4;Lake Stevens;44
6;Poulsbo;23
4;Everett;44
4;Woodway;32
6;Bainbridge Island;23
1;Burien;34
8;Anacortes;40
1;Seattle;43
1;Seattle;36
8;La Conner;10
1;Burien;34
10;Walla Walla;16
6;Silverdale;23
1;Kirkland;48
8;Anacortes;10
8;Anacortes;10
5;Oak Harbor;10
3;Yelm;2
1;Seattle;46
1;Seattle;36
11;Spokane;3
4;Monroe;39
2;Yakima;14
1;Seattle;46
3;Yelm;2
4;Monroe;39
4;Everett;44
9;Cle Elum;13
6;Bremerton;35
1;Seattle;46
2;Yakima;14
4;Lynnwood;21
1;Kirkland;48
6;Poulsbo;23
4;Bothell;44
4;Everett;44
4;Bothell;1
1;Bellevue;41
10;Walla Walla;16
1;Redmond;48
8;Mount Vernon;10
1;Redmond;48
4;Everett;44
1;Seattle;36
1;Seattle;34
4;Bothell;1
1;Bellevue;41
4;Everett;38
1;Bellevue;48
4;4;1
8;Mount Vernon;10
4;Lynnwood;32
1;Redmond;48
1;Auburn;47
1;Bellevue;48
8;Concrete;39
1;Redmond;45
7;Pullman;9
6;Port Orchard;35
1;Seattle;32
2;Yakima;15
4;Lynnwood;32
4;Mill Creek;44
4;Monroe;39
3;Lacey;22
1;Bellevue;41
3;Olympia;22
1;Seattle;36
4;Everett;44
4;Edmonds;21
5;Freeland;10
1;Tukwila;11
4;Everett;38
6;Bremerton;23
5;Coupeville;10
1;Seattle;32
2;Yakima;14
1;Kirkland;45
1;Kirkland;48
1;Seattle;46
3;Olympia;35
10;Walla Walla;16
12;Leavenworth;12
4;Marysville;38
4;Edmonds;21
1;Seatac;33
3;Olympia;22
4;Monroe;39
3;Olympia;2
12;Wenatchee;12
1;Seattle;46
13;Moses Lake;13
4;Bothell;1
1;Seattle;37
11;Spokane;3
8;Burlington;40
13;Coulee City;12
4;4;1
1;Bothell;1
8;Sedro-Woolley;39
1;Seattle;34
4;Bothell;21
3;Lacey;22
12;Wenatchee;12
1;Bellevue;41
1;Bothell;1
1;Seattle;43
4;Lynnwood;21
8;Bow;40
1;Kirkland;45
4;Bothell;1
1;Kirkland;45
8;Concrete;39
9;Ellensburg;13
4;4;1
6;Silverdale;23
1;Renton;33
4;Bothell;1
6;Bremerton;35
6;Seabeck;35
1;Issaquah;5
4;Edmonds;32
1;Des Moines;33
1;Seattle;43
10;Walla Walla;16
6;Bainbridge Island;23
1;Bellevue;48
1;Sammamish;45
4;Edmonds;21
6;Silverdale;23
4;Edmonds;21
1;Issaquah;5
1;Tukwila;11
1;Seattle;36
4;Lynnwood;32
4;Bothell;1
1;Bellevue;41
14;Rice;7
4;Edmonds;32
4;Monroe;39
3;Olympia;22
4;Everett;38
6;Bainbridge Island;23
4;Mukilteo;21
1;Bellevue;41
1;Seattle;43
4;Marysville;44
4;Bothell;1
5;Coupeville;10
14;Chewelah;7
8;Anacortes;40
6;Bremerton;35
4;Bothell;1
4;Bothell;1
4;Mountlake Terrace;1
1;Redmond;48
4;Everett;38
4;Bothell;1
1;Kirkland;48
1;Issaquah;5
5;Clinton;10
1;Seattle;46
1;Vashon;34
1;Redmond;48
1;Bellevue;41
3;Tenino;35
4;Mill Creek;44
4;Everett;38
3;Olympia;2
2;Yakima;14
3;Lacey;22
4;Edmonds;21
6;Poulsbo;23
9;Cle Elum;13
9;South Cle Elum;13
4;4;44
5;Langley;10
1;Sammamish;45
5;Clinton;10
4;Everett;21
1;Kirkland;45
6;Port Orchard;26
4;Bothell;1
4;Bothell;1
1;Kirkland;45
1;Redmond;45
3;Yelm;2
12;Cashmere;12
12;Entiat;12
1;Seattle;37
4;Mukilteo;21
4;Edmonds;32
13;Moses Lake;13
10;Walla Walla;16
1;Kirkland;48
1;Bellevue;41
1;Seattle;46
4;4;1
1;Bellevue;41
9;Cle Elum;13
15;Vancouver;18
1;Kent;47
3;Olympia;20
4;Everett;44
3;Olympia;35
5;Langley;10
8;Anacortes;40
4;Lynnwood;32
1;Kirkland;45
4;Granite Falls;39
4;Everett;44
6;Silverdale;23
2;Yakima;14
1;Seattle;46
4;Brier;1
14;Colville;7
1;Redmond;48
1;Bellevue;48
3;Olympia;22
4;Mukilteo;21
8;Burlington;40
4;Everett;44
1;Seattle;36
1;Seattle;36
1;Kirkland;48
1;Auburn;47
6;Bainbridge Island;23
1;Shoreline;32
1;Bellevue;48
4;4;1
4;Bothell;1
4;Bothell;1
4;Lynnwood;21
15;Vancouver;17
5;Langley;10
2;Yakima;15
16;Waterville;12
4;Bothell;1
3;Lacey;22
4;Marysville;38
4;Lynnwood;1
4;Woodinville;1
1;Seattle;36
1;Seattle;36
1;Kirkland;48
4;Marysville;38
1;Seattle;37
6;Port Orchard;26
1;Shoreline;32
15;La Center;18
1;Seattle;36
17;Lakewood;28
1;Tukwila;11
1;Bellevue;48
1;Bellevue;41
1;Bellevue;41
1;Seattle;43
1;Woodinville;45
15;Vancouver;17
1;Woodinville;45
15;Brush Prairie;17
1;Seattle;43
1;Kent;47
1;Woodinville;45
1;Issaquah;5
3;Olympia;22
18;Port Townsend;24
1;Seattle;36
1;Shoreline;32
1;Seattle;46
15;Vancouver;17
1;Seattle;36
1;Bothell;1
1;North Bend;5
1;Kirkland;1
15;Vancouver;18
1;Kirkland;45
1;Kirkland;45
1;Seattle;43
3;Rochester;35
1;Bellevue;41
1;Kirkland;48
1;Redmond;45
1;Kirkland;45
1;Seattle;43
1;Tukwila;11
1;Bellevue;41
1;Seattle;34
1;Kirkland;48
1;Redmond;45
3;Rochester;35
6;Bainbridge Island;23
1;Seattle;43
15;Vancouver;17
1;Kirkland;45
1;Seattle;46
1;Kenmore;46
6;Bainbridge Island;23
1;Seattle;46
1;Seattle;36
1;Renton;41
1;Issaquah;5
6;Bremerton;23
1;Normandy Park;33
4;Marysville;39
15;Vancouver;17
15;Vancouver;18
1;Seattle;43
1;Kirkland;45
1;Burien;34
15;Vancouver;18
1;Renton;11
1;Bellevue;41
15;Vancouver;17
1;Redmond;45
19;Woodland;20
1;Seattle;37
1;Kirkland;45
1;Kent;33
4;Lake Stevens;44
1;Kirkland;48
1;Bellevue;48
1;Shoreline;32
15;Vancouver;17
6;Olalla;26
