Model Year;Make;Model;Electric Vehicle Type;Clean Alternative Fuel Vehicle (CAFV) Eligibility;Electric Range
2020;110;KONA;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;258
2023;110;TUCSON;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;33
2023;110;IONIQ 5;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2022;110;TUCSON;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;33
2022;110;IONIQ 5;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2023;110;KONA ELECTRIC;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2022;110;SANTA FE;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;31
2021;110;KONA ELECTRIC;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2022;110;IONIQ;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;29
2023;110;IONIQ 6;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2019;110;IONIQ;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;29
2020;110;IONIQ;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;29
2017;110;IONIQ;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;124
2023;110;SANTA FE;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;30
2016;110;SONATA;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;27
2018;110;IONIQ;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;29
2021;110;IONIQ;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;29
2017;110;SONATA;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;27
2022;110;KONA ELECTRIC;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2019;110;KONA;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;258
2020;110;IONIQ;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;170
2021;110;IONIQ;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2019;110;IONIQ;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;124
2019;110;SONATA;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;28
2019;110;IONIQ;Battery Electric Vehicle (BEV);Not eligible due to low battery range;29
2018;110;IONIQ;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;124
2022;111;GRAND CHEROKEE;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;25
2023;111;GRAND CHEROKEE;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;25
2022;111;WRANGLER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;22
2021;111;WRANGLER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21
2023;111;WRANGLER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21
2021;111;WRANGLER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;25
2022;111;WRANGLER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21
2024;111;WRANGLER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21
2018;112;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;215
2020;112;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;266
2020;112;MODEL Y;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;291
2023;112;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2019;112;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;220
2018;112;MODEL S;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;249
2020;112;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;322
2020;112;MODEL S;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;330
2023;112;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2016;112;MODEL X;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;200
2020;112;MODEL X;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;289
2013;112;MODEL S;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;208
