ID_FABRICANTE;NOMBRE_FABRICANTE
110;HYUNDAI
111;JEEP
112;TESLA
113;BMW
114;CHRYSLER
115;FORD
116;TOYOTA
117;AUDI
118;NISSAN
119;KIA
120;CHEVROLET
121;VOLKSWAGEN
122;FIAT
123;MINI
124;SMART
125;RIVIAN
126;VOLVO
127;PORSCHE
128;HONDA
129;MITSUBISHI
130;SUBARU
131;POLESTAR
132;MERCEDES-BENZ
133;CADILLAC
134;JAGUAR
135;LINCOLN
136;GENESIS
137;LUCID
138;LEXUS
139;FISKER
140;MAZDA
141;LAND ROVER
142;TH!NK
143;AZURE DYNAMICS
144;ALFA ROMEO
145;WHEEGO ELECTRIC CARS
146;BENTLEY
