MAKE;MODEL
110;KONA
110;TUCSON
110;IONIQ 5
110;KONA ELECTRIC
110;SANTA FE
110;IONIQ
110;IONIQ 6
110;SONATA
111;GRAND CHEROKEE
111;WRANGLER
112;MODEL 3
112;MODEL Y
112;MODEL S
112;MODEL X
112;ROADSTER
113;I3
113;X5
113;330E
113;X3
113;IX
113;740E
113;530E
113;I4
113;I8
113;745E
113;745LE
114;PACIFICA
115;FUSION
115;C-MAX
115;FOCUS
115;MUSTANG MACH-E
115;TRANSIT
115;ESCAPE
115;F-150
115;RANGER
116;PRIUS PRIME
116;RAV4
116;PRIUS PLUG-IN
116;RAV4 PRIME
116;BZ4X
116;PRIUS
117;E-TRON
117;A3
117;Q5 E
117;Q5
117;E-TRON GT
117;Q4
117;A7
117;E-TRON SPORTBACK
117;A8 E
117;RS E-TRON GT
117;Q8
118;LEAF
118;ARIYA
119;NIRO
119;SORENTO
119;SPORTAGE
119;SOUL
119;SOUL EV
119;EV6
119;OPTIMA
120;VOLT
120;BOLT EV
120;BOLT EUV
120;SPARK
120;S-10 PICKUP
121;E-GOLF
121;ID.4
122;500
123;HARDTOP
123;COUNTRYMAN
124;EQ FORTWO
124;FORTWO
124;FORTWO ELECTRIC DRIVE
125;R1S
125;R1T
125;EDV
126;XC90
126;XC60
126;XC40
126;S60
126;C40
126;V60
126;S90
127;CAYENNE
127;TAYCAN
127;PANAMERA
127;918
128;CLARITY
128;ACCORD
129;OUTLANDER
129;I-MIEV
130;SOLTERRA
130;CROSSTREK
131;PS2
132;EQB-CLASS
132;EQS-CLASS SEDAN
132;GLC-CLASS
132;EQS-CLASS SUV
132;B-CLASS
132;GLE-CLASS
132;C-CLASS
132;EQE-CLASS SUV
132;EQE-CLASS SEDAN
132;S-CLASS
133;LYRIQ
133;ELR
133;CT6
134;I-PACE
135;AVIATOR
135;CORSAIR
136;G80
136;GV60
136;GV70
137;AIR
138;NX
138;RZ 450E
139;KARMA
140;CX-90
141;RANGE ROVER
141;RANGE ROVER SPORT
142;CITY
143;TRANSIT CONNECT ELECTRIC
144;TONALE
145;WHEEGO
146;FLYING SPUR
146;BENTAYGA
